"Publication","Author Count"
"Da    t  k Depo Y  netim Sistemi ve Mobil Terminal Eri?imi   zerine Deneyim Payla?  m  .","1"
"E  itim Semineri-2: Ye?il Yaz  l  m.","1"
"Cagri Merkezi Metin Madenciligi Yazilim Cercevesi (Call Center Text Mining Framework).","1"
"Uygulama Geli?tirme ve Yayg  nla?t  rma S  re ;lerindeki Performans De  erlendirmesinde AHP Y  nteminin Uygulanmas  .","1"
"IRIS Gomulu Yazilim Urun Hattinda Yazilim Ekosistemine Gecis Calismalari (Studies on Transitioning from IRIS Software Product Line to Software Ecosystem).","1"
"Emniyet Kritik Yaz  l  m Geli?tirme Projelerinde Kar?  la?  labilecek Etik Problemler.","1"
"H  rku? Projesi'nin Yaz  l  m Kapsam  nda Sertifikasyon Yolculu  u.","1"
"At  ? Kontrol Yaz  l  mlar  nda   r  n Hatt   Yakla?  m  n  n Uygulanmas  .","1"
"ATM Yerle?im Noktas   Se ;imi Karar Destek Sistemi.","1"
"Yaz  l  m Kalitesinin Kar?  la?t  r  lmas  nda TOPSIS VIKOR Y  nteminin Uygulanmas  .","1"
"G  venlik ve Gizlilik Temelinde ?irketlere   zel Bulut Depolama     z  m   (Private Cloud Storage).","1"
"Yazilim Gelistirme Surecinde Deger Akis Haritalama Yontemi Uygulama Calismasi.","1"
"Yaz  l  m Geli?tirme S  re   ?yile?tirme   l  me Deneyimleri: Son mu, Ba?lang     m  ?","1"
"Yazilim Muhendisliginde Proje Tabanli ve Proje Destekli Ogretim Yontemlerinin Akademik Basari ve Urun Performansina Etkileri.","1"
"ULAKSPY: Ara Katman Entegrasyon Test Otomasyon Arac  .","1"
"Scrum Integrated SDLC Processes of Turkiye Finans IT in a COBIT Compliant Environment.","1"
"CAN/TTCAN Sistemlerin UPPAAL Arac   ile Modellenmesi ve Zamanlama Do  rulamas  .","1"
"Yazilim Hata Kayitlarinin Makine Ogrenmesi Yontemleriyle Kumelenerek, Hataya Sebep Olan Bilesenlerin Tespit Edilmesi (Detection of Components Causing Errors by Clustering Software Error Records with Machine Learning Methods).","1"
"Konusma Yoluyla Etkilesilebilen Mobil Yazilimlarin Gelistirilmesine Yonelik Annotasyon Yonelimli Bir Yazilim Cercevesi.","1"
"Yaz  l  m Geli?tirme S  reci Uyarlama ?  in Bir   er  eve   nerisi.","1"
"Hiyerar?ik K  meleme ile Yaz  l  m Mimarisi Geri Kazan  m  .","1"
"Hareketli Veriler Icin Is Varligi Altyapisi (IVA).","1"
"Referans Mimariye Uygunlu  un Model Tabanl   Analizi ?  in Bir Yaz  l  m Arac  .","1"
"Rafta Haz  r Ticari Yaz  l  mlar  n Hava Arac   Tip Sertifikas   Al  m S  recinde Alternatif Uyum G  sterim Y  ntemleri.","1"
"TADES CAR: Yazilim Kalite Maliyetlerini Dusurmeye Yonelik Kok-Neden Analizi Durum Calismasi.","1"
"Bankamatiklerde Para Cekme Algoritmalari ve Uygulama Ornegi(Withdrawal Algorithms in Cashomats and Application Example).","1"
"Yaz  l  m   r  n Hatt  nda Yetenek Modelinden   r  n Konfig  rasyonunun Olu?turulmas  .","1"
"Say  sal Devrelerin Model Kontrol Tabanl   Testi.","1"
"Yaz  l  m Yap  sal Kapsama Analizinde Testlerin   nceliklendirilmesi.","1"
"AMN (Afghan Mission Network) Yaz  l  m Entegrasyon Projesi Ve Kazan  mlar  .","1"
"Askeri Kara Araclarinda Test Amacli Hizli Kullanici Arayuzu Yazilimi Gelistirme(Development of Rapid Software User Interface for Testing on Military Land Vehicles).","1"
"Bankac  l  k Sistemlerinde Uyum S  reci Kapsam  nda Yaz  l  m D  n  ?  m  nde Big Bang ve Paralel Uyum S  recinin K  yaslanmas  .","1"
"Ard  ?  l Devrelerin Yaz  l  m ile Model Tabanl   S  nanmas  .","1"
"B  y  k BT Organizasyonlar  nda Kullan  labilirlik.","1"
"UML Diyagramlar   Kullan  m  n  n Yaz  l  m Gerekleri G  zden Ge  irme Performans  na Etkileri: Bir Replikasyon   al  ?mas  .","1"
"Semantik Web Altyap  s  yla Duygu ve Eylem Modelleme.","1"
"Analysis of the Web Graph Aggregated by Host and Pay-Level Domain.","1"
"A Markov Model for Inferring Flows in Directed Contact Networks.","1"
"Adaptive Network Modeling for Criterial Causation.","1"
"Network-Oriented Modeling and Analysis of Dynamics Based on Adaptive Temporal-Causal Networks.","1"
"Using Algorithmic Complexity to Differentiate Cognitive States in fMRI.","1"
"""Learning Hubs"" on the Global Innovation Network.","1"
"Mathematical Analysis of a Network's Asymptotic Behaviour Based on Its Strongly Connected Components.","1"
"Information Diffusion in Heterogeneous Groups.","1"
"Clearing Algorithms and Network Centrality.","1"
"Relating an Adaptive Social Network's Structure to Its Emerging Behaviour Based on Homophily.","1"
"A Comparison of Approaches to Computing Betweenness Centrality for Large Graphs.","1"
"Emergent Relational Structures at a ""Sharing Economy"" Festival.","1"
"Networks with Hierarchical Structure: Applications to the Patent Domain.","1"
"Identifying Vulnerable Nodes to Cascading Failures: Centrality to the Rescue.","1"
"Impact of Network Topology on Efficiency of Proximity Measures for Community Detection.","1"
"Efficient Genealogical Graph Layout.","1"
"Influence Spreading Model Used to Community Detection in Social Networks.","1"
"The Impact of Partially Missing Communities on the Reliability of Centrality Measures.","1"
"Relating Emerging Network Behaviour to Network Structure.","1"
"Adaptive Workflows based on Flexible Assignment of Workflow Schemes and Workflow Instances.","1"
"Defining Flexible Workflow Execution Behaviors.","1"
"Semantic Interoperability in Interorganizational Workflows.","1"
"From Oz to TreatyMaker: An International Alliance for Multi-Organization Workflow.","1"
"Effective Query Filtering for Fast Homology Searching.","1"
"A Thematic Analysis of the AIDS Literature.","1"
"An Analytical Comparison of Multilocus Methods Under the Multispecies Coalescent: The Three-Taxon Case.","1"
"Protein Evolution and Protein Folding: Non-Functional Conserved Residues and Their Probable Role.","1"
"Reproducible Drug Repurposing: When Similarity Does Not Suffice.","1"
"Genetic Network Analysis in Light of Massively Parallel Biological Data Acquisition.","1"
"An Algorithm for Statistical Alignment of Sequences Related by a Binary Tree.","1"
"Support Vector Machine Prediction of Signal Peptide Cleavage Site Using a New Class of Kernels for Strings.","1"
"An NMR-Based Quenched Hydrogen Exchange Investigation of Model Amyloid Fibrils Formed by Cold Shock Protein A.","1"
"A Novel Profile Biomarker Diagnosis for Mass Spectral Proteomics.","1"
"Computational Challenges of Mass Phenotyping.","1"
"Dimensionality Reduction of Features using Multi Resolution Representation of Decomposed Images.","1"
"Recognition of Oracle Bone Inscriptions by Extracting Line Features on Image Processing.","1"
"Detecting Mean Reverted Patterns in Statistical Arbitrage.","1"
"The Stepwise Response Refinement Screener (SRRS) and its Applications to Analysis of Factorial Experiments.","1"
"On using Additional Unlabeled Data for Improving Dissimilarity-Based Classifications.","1"
"Fuzzy Templates for Pair-wise Multi-class Classification.","1"
"Simultaneous Object Detection and Semantic Segmentation.","1"
"Classifier Incongruence Detection for Anomaly Flagging in Machine Perception.","1"
"A Flexible Particle Swarm Optimization based on Global Best and Global Worst Information.","1"
"Recent Progress in Biometrics.","1"
"3D Computer Vision: From Points to Concepts.","1"
"Dimensionality Reduction with Evolutionary Shephard-Kruskal Embeddings.","1"
"Computer-Aided Diagnosis for Endotracheal Intubation Confirmation using Video-image Classification.","1"
"Re-identification: State of the Art and Current Trends.","1"
"Pattern Recognition in Real Time using Neural Networks: An Application for Pressure Measurement.","1"
"On the VC-Dimension of Univariate Decision Trees.","1"
"Context Sensitive Information: Model Validation by Information Theory.","1"
"ThinkBIG - Understanding the Impact of Big Data on Science and Society.","1"
"Unsupervised Internal Learning.","1"
"Distance Based Active Learning for Domain Adaptation.","1"
"A Comprehensive Dataset for Evaluating Approaches of Various Meta-learning Tasks.","1"
"Integrating Generative Modeling into Deep Learning.","1"
"Semi-local Features for the Classification of Segmented Objects.","1"
"Place-based Information Systems - Textual Location Identification and Visualization.","1"
"The Next Grand Challenge in Computer Vision: From Gesture Recognition to Sign Language Recognition.","1"
"A Mobile Indoor Positioning System Founded on Convolutional Extraction of Learned WLAN Fingerprints.","1"
"3D Computer Vision - From Points to Concepts.","1"
"On Stochastic Tree Distances and Their Training via Expectation-Maximisation.","1"
"Adversarial Pattern Recognition.","1"
"Metrics for Clustering Comparison in Bioinformatics.","1"
"Measure of Statistical Dependence.","1"
"On Location and Registration Fiducials - Their Analysis and Design.","1"
"A Simple Node Ordering Method for the K2 Algorithm based on the Factor Analysis.","1"
"Cascaded Acoustic Group and Individual Feature Selection for Recognition of Food Likability.","1"
"On the Application of Bio-Inspired Optimization Algorithms to Fuzzy C-Means Clustering of Time Series.","1"
"Fast Non-minimal Solvers for Planar Motion Compatible Homographies.","1"
"A Framework for Discovering Frequent Event Graphs from Uncertain Event-based Spatio-temporal Data.","1"
"Page Analysis by 2D Conditional Random Fields.","1"
"Network of Steel: Neural Font Style Transfer from Heavy Metal to Corporate Logos.","1"
"The Computational Magic of Pattern Recognition in Cortex: A Theory of Selectivity and Invariance.","1"
"Curve Reconstruction from Noisy and Unordered Samples.","1"
"Variational Inference of Dirichlet Process Mixture using Stochastic Gradient Ascent.","1"
"Sparse Least Squares Twin Support Vector Machines with Manifold-preserving Graph Reduction.","1"
"New Features for the Recognition of German-Kurrent-Handwriting with HMM-based Offline Systems.","1"
"Deep-er Kernels.","1"
"Structured Sparsity and Convex Optimization.","1"
"Near-Boolean Optimization: A Continuous Approach to Set Packing and Partitioning.","1"
"Handwritten Basic Word Recognition System based on Statistical-structural Features and HMM-treatment .","1"
"Stability Feature Selection using Cluster Representative LASSO.","1"
"Solving Perception Uncertainty Problems in Robotics.","1"
"Robust Face Recognition for Uncontrolled Settings.","1"
"Towards a Holistic Theory of Pattern Recognition - A Game-theoretic Perspective.","1"
"A Statistic Criterion for Reducing Indeterminacy in Linear Causal Modeling.","1"
"Privacy-preserving Machine Learning for Multimedia Data.","1"
"Continuous Set Packing and Near-Boolean Functions.","1"
"Extending the Gordon and Loeb Model for Information Security Investment.","1"
"A National Strategy for an Effective Cybersecurity Approach and Culture.","1"
"Conceptualizing the digital TAKEDOWN platforms for supporting first-line-practitioners and law enforcement agencies.","1"
"Using Linear Support Vector Machines to Solve the Asymmetric Comparison-Based Fault Diagnosis Problem.","1"
"Hierarchical Knowledge Structure Applied to Image Analyzing System - Possibilities of Practical Usage.","1"
"Model Driven Security.","1"
"Vulnerability Analysis and Attacks on NFC-Enabled Mobile Phones.","1"
"Security Situation Management: Towards Developing a Time-Critical Decision Making Capability for SESAR.","1"
"TinyStream Sensors.","1"
"Authentication Mechanisms for Mobile Agents.","1"
"Investigating the Use of Online Open Source Information as Evidence in European Courts.","1"
"Software Security Activities that Support Incident Management in Secure DevOps.","1"
"Blended Learning Technology in Information Security Management Courses.","1"
"An Automatic Privacy Policy Agreement Checker for E-services.","1"
"Challenges and mitigation approaches for getting secured applications in an enterprise company.","1"
"An Optimal Round Two-Party Password-Authenticated Key Agreement Protocol.","1"
"Attacks are Protocols Too.","1"
